Descrição da falha,Tipo de atividade,CÓDIGO DA OS,Ativo ,Equipe responsável,Executor (tecnico),Início,Fim,Hora início,Hora fim,Duração,Custo real dos técnicos (custo m.o.),Custo total real
Desgaste prematuro,Manutenção corretiva,CORRETIVA-05-25-0504,446-009 - PRENSA 01 (120 MM),EQ-ATV-002 - EQUIPE CORRETIVA,65042 - OPERADOR 21,5/15/2025,5/15/2025,04:00:00,04:35:00,00:35:00,"13,25","13,25"
Falha mecânica geral,Manutenção corretiva,CORRETIVA-05-25-0507,595-015 - EXAUSTOR ROSCA,EQ-ATV-002 - EQUIPE CORRETIVA,65010 - OPERADOR 17,5/15/2025,5/16/2025,10:30:00,15:30:00,5:00:00 AM,"263,61","263,61"
Desgaste prematuro,Manutenção corretiva,CORRETIVA-05-25-0499,848-011 - BASE ENROLADOR,EQ-ATV-002 - EQUIPE CORRETIVA,65272 - OPERADOR 26,5/15/2025,5/15/2025,01:30:00,02:00:00,00:30:00,"9,09","9,09"
Falha no motor principal,Manutenção corretiva,CORRETIVA-05-25-0533,#190 - CALANDRA  JOB-789 #190,EQ-ATV-002 - EQUIPE CORRETIVA,93664 - OPERADOR 37,5/16/2025,5/16/2025,19:00:00,23:00:00,04:00:00,0,0
Problema no painel elétrico,Manutenção corretiva,CORRETIVA-05-25-0529,#190 - CALANDRA  JOB-789 #190,EQ-ATV-002 - EQUIPE CORRETIVA,65027 - OPERADOR 18,5/16/2025,5/16/2025,07:00:00,10:00:00,03:00:00,"54,54","54,54"
Falha no motor principal,Manutenção corretiva,CORRETIVA-05-25-0533,#192 - CALANDRA MINI 813 #192,EQ-ATV-002 - EQUIPE CORRETIVA,93664 - OPERADOR 37,5/16/2025,5/16/2025,19:00:00,23:00:00,04:00:00,0,0
Problema no painel elétrico,Manutenção corretiva,CORRETIVA-05-25-0529,#192 - CALANDRA MINI 813 #192,EQ-ATV-002 - EQUIPE CORRETIVA,65027 - OPERADOR 18,5/16/2025,5/16/2025,07:00:00,10:00:00,03:00:00,"54,54","54,54"
Desgaste dos mancais,Manutenção corretiva,CORRETIVA-05-25-0607,#192 - CALANDRA MINI 813 #192,EQ-ATV-002 - EQUIPE CORRETIVA,65027 - OPERADOR 18,5/16/2025,5/16/2025,13:00:00,15:00:00,02:00:00,"36,36","36,36"
Falha no sistema hidráulico,Manutenção corretiva,CORRETIVA-05-25-0515,#219 - INJETORA A SECO AA #219,EQ-ATV-002 - EQUIPE CORRETIVA,64965 - OPERADOR 11,5/16/2025,5/16/2025,03:08:00,03:38:00,00:30:00,"11,36","11,36"
Sensor de temperatura defeituoso,Manutenção corretiva,CORRETIVA-05-25-0510,#222 - INJETORA PRIMÁRIA A SECO ITO-SIN LHD-450/13 #222,EQ-ATV-002 - EQUIPE CORRETIVA,93545 - OPERADOR 36,5/16/2025,5/16/2025,00:40:00,01:10:00,00:30:00,0,0
Travamento mecânico,Manutenção corretiva,CORRETIVA-05-25-0512,#305 - CORTADEIRA DOBRADEIRA TERMOMECANICA #305,EQ-ATV-002 - EQUIPE CORRETIVA,93545 - OPERADOR 36,5/16/2025,5/16/2025,02:00:00,02:30:00,00:30:00,0,0
Desgaste excessivo da lâmina,Manutenção corretiva,CORRETIVA-05-25-0523,#334 - CORTADEIRA TUBULAR SPAMA TC-620 #334,EQ-ATV-002 - EQUIPE CORRETIVA,93545 - OPERADOR 36,5/16/2025,5/16/2025,05:40:00,06:10:00,00:30:00,0,0
Superaquecimento,Manutenção corretiva,CORRETIVA-05-25-0509,#443 - PRENSA DST #443,EQ-ATV-002 - EQUIPE CORRETIVA,93545 - OPERADOR 36,5/16/2025,5/16/2025,00:10:00,00:40:00,00:30:00,0,0
Falha elétrica,Manutenção corretiva,CORRETIVA-05-25-0511,#446 - PRENSA ROSENDAHL NEXTROM Ø120/24D #446,EQ-ATV-002 - EQUIPE CORRETIVA,93545 - OPERADOR 36,5/16/2025,5/16/2025,01:10:00,01:50:00,00:40:00,0,0
Travamento inesperado,Manutenção corretiva,CORRETIVA-05-25-0674,#488 - POLITRIZ CV LINE ROYLE #488,EQ-ATV-002 - EQUIPE CORRETIVA,64945 - OPERADOR 9,5/16/2025,5/16/2025,20:00:00,21:00:00,01:00:00,"36,36","36,36"
Desgaste prematuro,Manutenção corretiva,CORRETIVA-05-25-0518,#584 - FRESADORA FLECHTMASCHINEN KAPELMASCHINEN,EQ-ATV-002 - EQUIPE CORRETIVA,65273 - OPERADOR 27,5/16/2025,5/16/2025,04:03:00,06:30:00,02:27:00,"44,54","44,54"
Falha mecânica geral,Manutenção corretiva,CORRETIVA-05-25-0606,#667 - FRACIONADORA #667,EQ-ATV-002 - EQUIPE CORRETIVA,93170 - OPERADOR 32,5/16/2025,5/16/2025,13:00:00,13:30:00,00:30:00,0,0
Travamento hidráulico,Manutenção corretiva,CORRETIVA-05-25-0531,190-005-007 - CALANDRA,EQ-ATV-002 - EQUIPE CORRETIVA,93664 - OPERADOR 37,5/16/2025,5/16/2025,14:30:00,19:00:00,04:30:00,0,0
Problema no painel elétrico,Manutenção corretiva,CORRETIVA-05-25-0534,192-011 - CALANDRA,EQ-ATV-002 - EQUIPE CORRETIVA,64989 - OPERADOR 14,5/16/2025,5/18/2025,23:00:00,07:00:00,8:00:00 AM,"272,4","272,4"
Desgaste dos mancais,Manutenção corretiva,CORRETIVA-05-25-0521,192-011 - CALANDRA,EQ-ATV-002 - EQUIPE CORRETIVA,64989 - OPERADOR 14,5/16/2025,5/16/2025,23:06:00,23:06:00,00:00:00,"90,9","90,9"
Falha mecânica geral,Manutenção corretiva,CORRETIVA-05-25-0534,192-011-001 - GAIOLA 01,EQ-ATV-002 - EQUIPE CORRETIVA,64989 - OPERADOR 14,5/16/2025,5/18/2025,23:00:00,07:00:00,8:00:00 AM,"272,4","272,4"
Falha elétrica,Manutenção corretiva,CORRETIVA-05-25-0521,192-011-001 - GAIOLA 01,EQ-ATV-002 - EQUIPE CORRETIVA,64989 - OPERADOR 14,5/16/2025,5/16/2025,23:06:00,23:06:00,00:00:00,"90,9","90,9"
Travamento inesperado,Manutenção corretiva,CORRETIVA-05-25-0521,192-011-008 - GAIOLA 08,EQ-ATV-002 - EQUIPE CORRETIVA,64989 - OPERADOR 14,5/16/2025,5/16/2025,23:06:00,23:06:00,00:00:00,"90,9","90,9"
Superaquecimento,Manutenção corretiva,CORRETIVA-05-25-0530,192-013 - TESOURA TRANSFERÊNCIA,EQ-ATV-002 - EQUIPE CORRETIVA,65027 - OPERADOR 18,5/16/2025,5/16/2025,10:00:00,13:00:00,03:00:00,"54,54","54,54"
Falha elétrica,Manutenção corretiva,CORRETIVA-05-25-0602,208-007 - BOBINADOR 1,EQ-ATV-002 - EQUIPE CORRETIVA,64919 - OPERADOR 5,5/16/2025,5/16/2025,09:00:00,13:00:00,04:00:00,"72,72","72,72"
Superaquecimento,Manutenção corretiva,CORRETIVA-05-25-0673,208-007 - BOBINADOR 1,EQ-ATV-002 - EQUIPE CORRETIVA,64945 - OPERADOR 9,5/16/2025,5/16/2025,17:00:00,20:00:00,03:00:00,"109,08","109,08"
Desgaste prematuro,Manutenção corretiva,CORRETIVA-05-25-0517,208-007 - BOBINADOR 1,EQ-ATV-002 - EQUIPE CORRETIVA,65273 - OPERADOR 27,5/16/2025,5/16/2025,01:02:00,04:00:00,02:58:00,"53,93","53,93"
Falha elétrica,Manutenção corretiva,CORRETIVA-05-25-0532,211-007 - BOBINADOR 1,EQ-ATV-002 - EQUIPE CORRETIVA,65010 - OPERADOR 17,5/16/2025,5/16/2025,15:30:00,17:30:00,02:00:00,"36,36","36,36"
Superaquecimento,Manutenção corretiva,CORRETIVA-05-25-0604,211-007 - BOBINADOR 1,EQ-ATV-002 - EQUIPE CORRETIVA,93170 - OPERADOR 32,5/16/2025,5/16/2025,10:00:00,10:40:00,00:40:00,0,0
Superaquecimento,Manutenção corretiva,CORRETIVA-05-25-0532,211-012 - MOTOR CA BOBINADOR 1,EQ-ATV-002 - EQUIPE CORRETIVA,65010 - OPERADOR 17,5/16/2025,5/16/2025,15:30:00,17:30:00,02:00:00,"36,36","36,36"
Superaquecimento,Manutenção corretiva,CORRETIVA-05-25-0603,219-007 - BOBINADOR 1,EQ-ATV-002 - EQUIPE CORRETIVA,93170 - OPERADOR 32,5/16/2025,5/16/2025,07:00:00,07:40:00,00:40:00,0,0
Superaquecimento,Manutenção corretiva,CORRETIVA-05-25-0537,222-002 - INJEÇÃO,EQ-ATV-002 - EQUIPE CORRETIVA,65273 - OPERADOR 27,5/16/2025,5/17/2025,23:00:00,01:00:00,02:00:00,"35,76","35,76"
Desgaste prematuro,Manutenção corretiva,CORRETIVA-05-25-0675,297-002 - INJEÇÃO,EQ-ATV-002 - EQUIPE CORRETIVA,64945 - OPERADOR 9,5/16/2025,5/16/2025,21:00:00,22:30:00,01:30:00,"27,27","27,27"
Superaquecimento,Manutenção corretiva,CORRETIVA-05-25-0601,298-009 - COILER,EQ-ATV-002 - EQUIPE CORRETIVA,93170 - OPERADOR 32,5/16/2025,5/16/2025,10:30:00,11:30:00,01:00:00,0,0
Travamento inesperado,Manutenção corretiva,CORRETIVA-05-25-0526,312-002 - 1ª GAIOLA,EQ-ATV-002 - EQUIPE CORRETIVA,64967 - OPERADOR 13,5/16/2025,5/16/2025,08:00:00,15:00:00,07:00:00,"145,44","145,44"
Desgaste prematuro,Manutenção corretiva,CORRETIVA-05-25-0605,327-002 - 1ª GAIOLA,EQ-ATV-002 - EQUIPE CORRETIVA,93170 - OPERADOR 32,5/16/2025,5/16/2025,09:10:00,09:40:00,00:30:00,0,0
Desgaste dos mancais,Manutenção corretiva,CORRETIVA-05-25-0552,#190 - CALANDRA  JOB-789 #190,EQ-ATV-002 - EQUIPE CORRETIVA,93664 - OPERADOR 37,5/17/2025,5/17/2025,14:30:00,20:00:00,05:30:00,0,0
Travamento hidráulico,Manutenção corretiva,CORRETIVA-05-25-0544,#190 - CALANDRA  JOB-789 #190,EQ-ATV-002 - EQUIPE CORRETIVA,93545 - OPERADOR 36,5/17/2025,5/17/2025,04:30:00,05:00:00,00:30:00,0,0
Desalinhamento dos rolos,Manutenção corretiva,CORRETIVA-05-25-0541,#190 - CALANDRA  JOB-789 #190,EQ-ATV-002 - EQUIPE CORRETIVA,64965 - OPERADOR 11,5/17/2025,5/17/2025,02:30:00,06:00:00,03:30:00,"34,08","34,08"
Travamento hidráulico,Manutenção corretiva,CORRETIVA-05-25-0552,#192 - CALANDRA MINI 813 #192,EQ-ATV-002 - EQUIPE CORRETIVA,93664 - OPERADOR 37,5/17/2025,5/17/2025,14:30:00,20:00:00,05:30:00,0,0
Desalinhamento dos rolos,Manutenção corretiva,CORRETIVA-05-25-0546,#192 - CALANDRA MINI 813 #192,EQ-ATV-002 - EQUIPE CORRETIVA,93545 - OPERADOR 36,5/17/2025,5/17/2025,04:00:00,04:30:00,00:30:00,0,0
Falha no sistema hidráulico,Manutenção corretiva,CORRETIVA-05-25-0563,#208 - INJETORA A SECO BB T-50-35 #208,EQ-ATV-002 - EQUIPE CORRETIVA,93545 - OPERADOR 36,5/17/2025,5/17/2025,23:15:00,23:59:00,00:44:00,0,0
Sensor de temperatura defeituoso,Manutenção corretiva,CORRETIVA-05-25-0548,#208 - INJETORA A SECO BB T-50-35 #208,EQ-ATV-002 - EQUIPE CORRETIVA,93545 - OPERADOR 36,5/17/2025,5/17/2025,05:30:00,06:00:00,00:01:00,0,0
Travamento do molde,Manutenção corretiva,CORRETIVA-05-25-0589,#222 - INJETORA PRIMÁRIA A SECO ITO-SIN LHD-450/13 #222,EQ-ATV-002 - EQUIPE CORRETIVA,65042 - OPERADOR 21,5/17/2025,5/17/2025,13:20:00,13:40:00,00:20:00,"7,57","7,57"
Vazamento de óleo,Manutenção corretiva,CORRETIVA-05-25-0579,#222 - INJETORA PRIMÁRIA A SECO ITO-SIN LHD-450/13 #222,EQ-ATV-002 - EQUIPE CORRETIVA,65042 - OPERADOR 21,5/17/2025,5/17/2025,12:00:00,13:00:00,02:25:00,"22,72","22,72"
Falha na unidade de injeção,Manutenção corretiva,CORRETIVA-05-25-0565,#297 - INJETORA SYNCRO F13 - 2,EQ-ATV-002 - EQUIPE CORRETIVA,64965 - OPERADOR 11,5/17/2025,5/18/2025,00:30:00,04:00:00,3:30:00 AM,"107,92","107,92"
Falha no sistema elétrico,Manutenção corretiva,CORRETIVA-05-25-0543,#304 - CORTADEIRA DOBRADEIRA TERMOMECANICA #304,EQ-ATV-002 - EQUIPE CORRETIVA,93545 - OPERADOR 36,5/17/2025,5/17/2025,02:00:00,02:40:00,00:40:00,0,0
Falha no sistema elétrico,Manutenção corretiva,CORRETIVA-05-25-0681,#328 - CORTADEIRA DE 7 EXTENSÕES,EQ-ATV-002 - EQUIPE CORRETIVA,64945 - OPERADOR 9,5/17/2025,5/17/2025,18:00:00,19:00:00,01:00:00,"36,36","36,36"
Correia desalinhada,Manutenção corretiva,CORRETIVA-05-25-0903,#329 - ESTEIRA CABALLE DT-1250 #329,EQ-ATV-002 - EQUIPE CORRETIVA,93454 - OPERADOR 35,5/17/2025,5/17/2025,10:10:00,11:50:00,01:40:00,0,0
Falha no sistema elétrico,Manutenção corretiva,CORRETIVA-05-25-0547,#331 - CORTADEIRA TUBULAR SPAMA TC-610 #331,EQ-ATV-002 - EQUIPE CORRETIVA,93545 - OPERADOR 36,5/17/2025,5/17/2025,05:00:00,05:30:00,00:30:00,0,0
Falha mecânica geral,Manutenção corretiva,CORRETIVA-05-25-0539,#488 - POLITRIZ CV LINE ROYLE #488,EQ-ATV-002 - EQUIPE CORRETIVA,93545 - OPERADOR 36,5/17/2025,5/17/2025,00:45:00,01:40:00,00:55:00,0,0
Falha mecânica geral,Manutenção corretiva,CORRETIVA-05-25-0536,#547 - FRESADORA SPAMA #547,EQ-ATV-002 - EQUIPE CORRETIVA,65273 - OPERADOR 27,5/17/2025,5/17/2025,01:00:00,04:00:00,03:00:00,"54,54","54,54"
Superaquecimento,Manutenção corretiva,CORRETIVA-05-25-0901,#580 - FRESADORA HEFEI SMARTER 600 #580,EQ-ATV-002 - EQUIPE CORRETIVA,93454 - OPERADOR 35,5/17/2025,5/17/2025,07:00:00,07:50:00,00:50:00,0,0
Falha elétrica,Manutenção corretiva,CORRETIVA-05-25-0540,#656 - PLAINA #656,EQ-ATV-002 - EQUIPE CORRETIVA,64965 - OPERADOR 11,5/17/2025,5/17/2025,02:00:00,02:30:00,00:30:00,"11,36","11,36"
Desgaste das facas,Manutenção corretiva,CORRETIVA-05-25-0550,#889 - GRANULADORA BOW TWISTER #889,EQ-ATV-002 - EQUIPE CORRETIVA,64990 - OPERADOR 15,5/17/2025,5/17/2025,02:00:00,03:30:00,01:30:00,"27,27","27,27"
Desgaste prematuro,Manutenção corretiva,CORRETIVA-05-25-0562,190-010-003 - PIT ROOL,EQ-ATV-002 - EQUIPE CORRETIVA,93664 - OPERADOR 37,5/17/2025,5/17/2025,20:00:00,23:00:00,03:00:00,0,0
Superaquecimento,Manutenção corretiva,CORRETIVA-05-25-0574,190-029 - TORRE FUSORA PYROLINE FADB-3 -10000,EQ-ATV-002 - EQUIPE CORRETIVA,65042 - OPERADOR 21,5/17/2025,5/17/2025,07:00:00,08:20:00,01:20:00,"30,29","30,29"
Falha mecânica geral,Manutenção corretiva,CORRETIVA-05-25-0584,192-010-001 - STAND 0,EQ-ATV-002 - EQUIPE CORRETIVA,65272 - OPERADOR 26,5/17/2025,5/17/2025,07:00:00,10:00:00,03:00:00,"54,54","54,54"
Superaquecimento,Manutenção corretiva,CORRETIVA-05-25-0575,208-005 - CARRO DE TRANSFERÊNCIA,EQ-ATV-002 - EQUIPE CORRETIVA,65042 - OPERADOR 21,5/17/2025,5/17/2025,06:40:00,07:00:00,07:39:00,"7,57","7,57"
Travamento inesperado,Manutenção corretiva,CORRETIVA-05-25-0902,208-007 - BOBINADOR 1,EQ-ATV-002 - EQUIPE CORRETIVA,93454 - OPERADOR 35,5/17/2025,5/17/2025,08:00:00,10:00:00,02:00:00,0,0
Falha mecânica geral,Manutenção corretiva,CORRETIVA-05-25-0572,208-007 - BOBINADOR 1,EQ-ATV-002 - EQUIPE CORRETIVA,64990 - OPERADOR 15,5/17/2025,5/18/2025,23:00:00,01:00:00,02:00:00,"36,06","36,06"
Desgaste prematuro,Manutenção corretiva,CORRETIVA-05-25-0591,211-007 - BOBINADOR 1,EQ-ATV-002 - EQUIPE CORRETIVA,65042 - OPERADOR 21,5/17/2025,5/17/2025,14:00:00,14:30:00,00:31:00,"11,36","11,36"
Travamento inesperado,Manutenção corretiva,CORRETIVA-05-25-0678,211-007 - BOBINADOR 1,EQ-ATV-002 - EQUIPE CORRETIVA,64945 - OPERADOR 9,5/17/2025,5/17/2025,17:00:00,17:30:00,00:30:00,"18,18","18,18"
Falha mecânica geral,Manutenção corretiva,CORRETIVA-05-25-0679,211-007 - BOBINADOR 1,EQ-ATV-002 - EQUIPE CORRETIVA,64945 - OPERADOR 9,5/17/2025,5/17/2025,19:00:00,19:30:00,00:30:00,"18,18","18,18"
Travamento inesperado,Manutenção corretiva,CORRETIVA-05-25-0904,214-007 - BOBINADOR 1,EQ-ATV-002 - EQUIPE CORRETIVA,93454 - OPERADOR 35,5/17/2025,5/17/2025,13:20:00,14:00:00,00:40:00,0,0
Falha elétrica,Manutenção corretiva,CORRETIVA-05-25-0580,217-014 - PAINEL ELÉTRICO E COMANDO,EQ-ATV-002 - EQUIPE CORRETIVA,65042 - OPERADOR 21,5/17/2025,5/17/2025,13:00:00,13:15:00,00:15:00,"5,68","5,68"
Travamento inesperado,Manutenção corretiva,CORRETIVA-05-25-0586,219-005 - CARRO DE TRANSFERÊNCIA,EQ-ATV-002 - EQUIPE CORRETIVA,65272 - OPERADOR 26,5/17/2025,5/17/2025,11:30:00,13:30:00,02:00:00,"36,36","36,36"
Falha mecânica geral,Manutenção corretiva,CORRETIVA-05-25-0545,219-005 - CARRO DE TRANSFERÊNCIA,EQ-ATV-002 - EQUIPE CORRETIVA,65273 - OPERADOR 27,5/17/2025,5/17/2025,04:00:00,06:30:00,02:30:00,"45,45","45,45"
Travamento inesperado,Manutenção corretiva,CORRETIVA-05-25-0576,297-008 - PAINEL ELETRICO E COMANDO,EQ-ATV-002 - EQUIPE CORRETIVA,65042 - OPERADOR 21,5/17/2025,5/17/2025,08:20:00,10:00:00,01:40:00,"37,87","37,87"
Desgaste prematuro,Manutenção corretiva,CORRETIVA-05-25-0683,304-002 - 1ª GAIOLA,EQ-ATV-002 - EQUIPE CORRETIVA,64945 - OPERADOR 9,5/17/2025,5/17/2025,21:30:00,22:30:00,01:00:00,"18,18","18,18"
Falha mecânica geral,Manutenção corretiva,CORRETIVA-05-25-0577,304-010 - PAINEL ELÉTRICO E COMANDO,EQ-ATV-002 - EQUIPE CORRETIVA,65042 - OPERADOR 21,5/17/2025,5/17/2025,10:00:00,11:00:00,04:23:00,"22,72","22,72"
Falha elétrica,Manutenção corretiva,CORRETIVA-05-25-0583,304-010 - PAINEL ELÉTRICO E COMANDO,EQ-ATV-002 - EQUIPE CORRETIVA,65042 - OPERADOR 21,5/17/2025,5/17/2025,11:00:00,11:40:00,00:40:00,"15,15","15,15"
Travamento inesperado,Manutenção corretiva,CORRETIVA-05-25-0592,307-016 - PAINEL ELÉTRICO E COMANDO,EQ-ATV-002 - EQUIPE CORRETIVA,65042 - OPERADOR 21,5/17/2025,5/17/2025,14:30:00,14:45:00,00:15:00,"5,68","5,68"
Falha mecânica geral,Manutenção corretiva,CORRETIVA-05-25-0549,312-002 - 1ª GAIOLA,EQ-ATV-002 - EQUIPE CORRETIVA,64990 - OPERADOR 15,5/17/2025,5/17/2025,01:00:00,02:00:00,01:00:00,"18,18","18,18"
Travamento inesperado,Manutenção corretiva,CORRETIVA-05-25-0676,334-013-003 - ESPALHADOR,EQ-ATV-002 - EQUIPE CORRETIVA,64945 - OPERADOR 9,5/17/2025,5/17/2025,15:00:00,16:00:00,01:00:00,"36,36","36,36"
Falha mecânica geral,Manutenção corretiva,CORRETIVA-05-25-0578,334-013-003 - ESPALHADOR,EQ-ATV-002 - EQUIPE CORRETIVA,65042 - OPERADOR 21,5/17/2025,5/17/2025,11:40:00,12:00:00,02:44:00,"7,57","7,57"
Travamento inesperado,Manutenção corretiva,CORRETIVA-05-25-0590,441-015 - BASE ENROLADOR 02,EQ-ATV-002 - EQUIPE CORRETIVA,65042 - OPERADOR 21,5/17/2025,5/17/2025,13:40:00,14:00:00,00:50:00,"7,57","7,57"
Falha mecânica geral,Manutenção corretiva,CORRETIVA-05-25-0680,580-009 - CATE DE SAÍDA,EQ-ATV-002 - EQUIPE CORRETIVA,64945 - OPERADOR 9,5/17/2025,5/17/2025,17:30:00,18:00:00,00:30:00,"18,18","18,18"
Travamento inesperado,Manutenção corretiva,CORRETIVA-05-25-0585,660-001 - BASE DESENROLADOR,EQ-ATV-002 - EQUIPE CORRETIVA,65272 - OPERADOR 26,5/17/2025,5/17/2025,10:00:00,11:30:00,01:30:00,"27,27","27,27"
Desgaste prematuro,Manutenção corretiva,CORRETIVA-05-25-0677,660-003 - BASE ENROLADOR,EQ-ATV-002 - EQUIPE CORRETIVA,64945 - OPERADOR 9,5/17/2025,5/17/2025,16:00:00,17:00:00,01:00:00,"36,36","36,36"
Travamento inesperado,Manutenção corretiva,CORRETIVA-05-25-0682,660-003 - BASE ENROLADOR,EQ-ATV-002 - EQUIPE CORRETIVA,64945 - OPERADOR 9,5/17/2025,5/17/2025,19:30:00,20:00:00,00:30:00,"18,18","18,18"
Falha no motor principal,Manutenção corretiva,CORRETIVA-05-25-0610,#190 - CALANDRA  JOB-789 #190,EQ-ATV-002 - EQUIPE CORRETIVA,93664 - OPERADOR 37,5/18/2025,5/18/2025,22:30:00,23:59:00,01:29:00,0,0
Problema no painel elétrico,Manutenção corretiva,CORRETIVA-05-25-0729,#190 - CALANDRA  JOB-789 #190,EQ-ATV-002 - EQUIPE CORRETIVA,65027 - OPERADOR 18,5/18/2025,5/18/2025,22:00:00,23:00:00,01:00:00,"18,18","18,18"
Desgaste dos mancais,Manutenção corretiva,CORRETIVA-05-25-0727,#190 - CALANDRA  JOB-789 #190,EQ-ATV-002 - EQUIPE CORRETIVA,65027 - OPERADOR 18,5/18/2025,5/18/2025,18:00:00,20:00:00,02:00:00,"36,36","36,36"
Travamento hidráulico,Manutenção corretiva,CORRETIVA-05-25-0608,#190 - CALANDRA  JOB-789 #190,EQ-ATV-002 - EQUIPE CORRETIVA,65027 - OPERADOR 18,5/18/2025,5/18/2025,15:00:00,18:00:00,03:00:00,"54,54","54,54"
Desalinhamento dos rolos,Manutenção corretiva,CORRETIVA-05-25-0609,#190 - CALANDRA  JOB-789 #190,EQ-ATV-002 - EQUIPE CORRETIVA,65220 - OPERADOR 24,5/18/2025,5/18/2025,20:00:00,21:00:00,01:00:00,"22,72","22,72"
Falha no motor principal,Manutenção corretiva,CORRETIVA-05-25-0568,#190 - CALANDRA  JOB-789 #190,EQ-ATV-002 - EQUIPE CORRETIVA,93545 - OPERADOR 36,5/18/2025,5/18/2025,00:30:00,01:00:00,00:30:00,0,0
Falha no motor principal,Manutenção corretiva,CORRETIVA-05-25-0610,#192 - CALANDRA MINI 813 #192,EQ-ATV-002 - EQUIPE CORRETIVA,93664 - OPERADOR 37,5/18/2025,5/18/2025,22:30:00,23:59:00,01:29:00,0,0
Problema no painel elétrico,Manutenção corretiva,CORRETIVA-05-25-0728,#192 - CALANDRA MINI 813 #192,EQ-ATV-002 - EQUIPE CORRETIVA,65027 - OPERADOR 18,5/18/2025,5/18/2025,20:00:00,22:00:00,02:00:00,"36,36","36,36"
Desgaste dos mancais,Manutenção corretiva,CORRETIVA-05-25-0608,#192 - CALANDRA MINI 813 #192,EQ-ATV-002 - EQUIPE CORRETIVA,65027 - OPERADOR 18,5/18/2025,5/18/2025,15:00:00,18:00:00,03:00:00,"54,54","54,54"
Travamento hidráulico,Manutenção corretiva,CORRETIVA-05-25-0571,#192 - CALANDRA MINI 813 #192,EQ-ATV-002 - EQUIPE CORRETIVA,64965 - OPERADOR 11,5/18/2025,5/18/2025,05:00:00,06:00:00,01:04:00,"22,72","22,72"
Travamento do molde,Manutenção corretiva,CORRETIVA-05-25-0570,#202 - INJETORA A SECO AA #202,EQ-ATV-002 - EQUIPE CORRETIVA,93545 - OPERADOR 36,5/18/2025,5/18/2025,00:01:00,00:30:00,00:30:00,0,0
Travamento do molde,Manutenção corretiva,CORRETIVA-05-25-0593,#211 - INJETORA A SECO AA #211,EQ-ATV-002 - EQUIPE CORRETIVA,65042 - OPERADOR 21,5/18/2025,5/18/2025,07:00:00,08:30:00,01:30:00,"34,08","34,08"
Falha na unidade de injeção,Manutenção corretiva,CORRETIVA-05-25-0569,#222 - INJETORA PRIMÁRIA A SECO ITO-SIN LHD-450/13 #222,EQ-ATV-002 - EQUIPE CORRETIVA,64965 - OPERADOR 11,5/18/2025,5/18/2025,00:30:00,01:00:00,00:30:00,"11,36","11,36"
Falha no sistema hidráulico,Manutenção corretiva,CORRETIVA-05-25-0753,#297 - INJETORA SYNCRO F13 - 2,EQ-ATV-002 - EQUIPE CORRETIVA,93545 - OPERADOR 36,5/18/2025,5/18/2025,02:00:00,03:30:00,01:30:00,0,0
Sensor de temperatura defeituoso,Manutenção corretiva,CORRETIVA-05-25-0596,#297 - INJETORA SYNCRO F13 - 2,EQ-ATV-002 - EQUIPE CORRETIVA,65042 - OPERADOR 21,5/18/2025,5/18/2025,13:00:00,14:20:00,01:20:00,"30,29","30,29"
Travamento inesperado,Manutenção corretiva,CORRETIVA-05-25-0567,#584 - FRESADORA FLECHTMASCHINEN KAPELMASCHINEN,EQ-ATV-002 - EQUIPE CORRETIVA,65273 - OPERADOR 27,5/18/2025,5/18/2025,02:02:00,04:45:00,02:43:00,"49,39","49,39"
Falha mecânica geral,Manutenção corretiva,CORRETIVA-05-25-0594,#584 - FRESADORA FLECHTMASCHINEN KAPELMASCHINEN,EQ-ATV-002 - EQUIPE CORRETIVA,65042 - OPERADOR 21,5/18/2025,5/18/2025,08:30:00,09:15:00,00:45:00,"17,04","17,04"
Quebra do termopar,Manutenção corretiva,CORRETIVA-05-25-0595,190-002 - FORNO ROTATIVO #03,EQ-ATV-002 - EQUIPE CORRETIVA,65042 - OPERADOR 21,5/18/2025,5/18/2025,11:45:00,12:30:00,00:45:00,"17,04","17,04"
Falha mecânica geral,Manutenção corretiva,CORRETIVA-05-25-0598,295-008 - BOBINADOR 2,EQ-ATV-002 - EQUIPE CORRETIVA,65042 - OPERADOR 21,5/18/2025,5/18/2025,09:40:00,10:10:00,00:30:00,"11,36","11,36"
Falha elétrica,Manutenção corretiva,CORRETIVA-05-25-0653,332-002 - BERÇO 01,EQ-ATV-002 - EQUIPE CORRETIVA,93170 - OPERADOR 32,5/18/2025,5/18/2025,18:00:00,18:45:00,00:45:00,0,0
Superaquecimento,Manutenção corretiva,CORRETIVA-05-25-0654,362-004 - GAIOLA 04,EQ-ATV-002 - EQUIPE CORRETIVA,93170 - OPERADOR 32,5/18/2025,5/18/2025,16:00:00,16:40:00,00:40:00,"10,61","10,61"
Falha mecânica geral,Manutenção corretiva,CORRETIVA-05-25-0684,363-006 - GAIOLA 06,EQ-ATV-002 - EQUIPE CORRETIVA,64945 - OPERADOR 9,5/18/2025,5/18/2025,23:00:00,23:59:00,00:59:00,"35,76","35,76"
Desgaste prematuro,Manutenção corretiva,CORRETIVA-05-25-0597,444-016 - RAIO X,EQ-ATV-002 - EQUIPE CORRETIVA,65042 - OPERADOR 21,5/18/2025,5/18/2025,09:15:00,09:40:00,00:25:00,"9,47","9,47"
