FORNECEDOR,Valor/moeda objeto,Data de lançamento,,,NOME TRANSPORTADORA,VALOR
TRANSPORTADORA COMBINADA,"  239,31 ",3/21/2025,,,,
TRANSPORTADORA COMBINADA,"  239,03 ",3/4/2025,,,,
TRANSPORTADORA COMBINADA,"  238,59 ",3/19/2025,,,,
TRANSPORTADORA COMBINADA,"  238,52 ",3/21/2025,,,,
TRANSPORTADORA COMBINADA,"  237,66 ",3/21/2025,,,,
TRANSPORTADORA COMBINADA,"  173,30 ",3/26/2025,,,,
TRANSPORTADORA EMERGENCIAL,"  146,63 ",3/27/2025,,,,
TRANSPORTADORA COMBINADA,"  66,02 ",3/13/2025,,,,
TRANSPORTADORA EMERGENCIAL,"  1.247,58 ",4/2/2025,,,,
TRANSPORTADORA EMERGENCIAL,"  905,97 ",4/19/2025,,,,
TRANSPORTADORA EMERGENCIAL,"  884,83 ",4/29/2025,,,,
TRANSPORTADORA EMERGENCIAL,"  884,83 ",4/30/2025,,,,
TRANSPORTADORA COMBINADA,"  804,74 ",4/23/2025,,,,
TRANSPORTADORA EMERGENCIAL,"  778,65 ",4/2/2025,,,,
TRANSPORTADORA EMERGENCIAL,"  778,65 ",4/3/2025,,,,
TRANSPORTADORA EMERGENCIAL,"  778,65 ",4/2/2025,,,,
TRANSPORTADORA EMERGENCIAL,"  778,65 ",4/2/2025,,,,
TRANSPORTADORA EMERGENCIAL,"  778,65 ",4/2/2025,,,,
TRANSPORTADORA EMERGENCIAL,"  778,65 ",4/2/2025,,,,
TRANSPORTADORA EMERGENCIAL,"  778,65 ",4/12/2025,,,,
TRANSPORTADORA EMERGENCIAL,"  778,65 ",4/8/2025,,,,
TRANSPORTADORA EMERGENCIAL,"  736,19 ",4/26/2025,,,,
TRANSPORTADORA COMBINADA,"  548,47 ",4/16/2025,,,,
TRANSPORTADORA COMBINADA,"  447,52 ",4/30/2025,,,,
TRANSPORTADORA COMBINADA,"  395,53 ",4/16/2025,,,,
TRANSPORTADORA COMBINADA,"  387,92 ",4/4/2025,,,,
TRANSPORTADORA COMBINADA,"  380,60 ",4/4/2025,,,,
TRANSPORTADORA COMBINADA,"  378,85 ",4/16/2025,,,,
TRANSPORTADORA COMBINADA,"  378,57 ",4/4/2025,,,,
TRANSPORTADORA COMBINADA,"  373,38 ",4/4/2025,,,,
TRANSPORTADORA COMBINADA,"  372,68 ",4/4/2025,,,,
TRANSPORTADORA COMBINADA,"  371,79 ",4/4/2025,,,,
TRANSPORTADORA COMBINADA,"  371,56 ",4/4/2025,,,,
TRANSPORTADORA COMBINADA,"  371,19 ",4/16/2025,,,,
TRANSPORTADORA COMBINADA,"  340,45 ",4/22/2025,,,,
TRANSPORTADORA COMBINADA,"  288,43 ",4/10/2025,,,,
TRANSPORTADORA COMBINADA,"  278,48 ",4/23/2025,,,,
TRANSPORTADORA COMBINADA,"  277,16 ",4/26/2025,,,,
TRANSPORTADORA COMBINADA,"  273,56 ",4/23/2025,,,,
TRANSPORTADORA COMBINADA,"  273,56 ",4/23/2025,,,,
TRANSPORTADORA COMBINADA,"  271,32 ",4/23/2025,,,,
TRANSPORTADORA COMBINADA,"  271,27 ",4/23/2025,,,,
TRANSPORTADORA COMBINADA,"  270,68 ",4/23/2025,,,,
TRANSPORTADORA COMBINADA,"  268,86 ",4/23/2025,,,,
TRANSPORTADORA COMBINADA,"  247,18 ",4/22/2025,,,,
TRANSPORTADORA COMBINADA,"  246,65 ",4/8/2025,,,,
TRANSPORTADORA COMBINADA,"  246,18 ",4/22/2025,,,,
TRANSPORTADORA COMBINADA,"  246,11 ",4/2/2025,,,,
TRANSPORTADORA COMBINADA,"  244,88 ",4/5/2025,,,,
TRANSPORTADORA COMBINADA,"  243,51 ",4/4/2025,,,,
TRANSPORTADORA COMBINADA,"  242,99 ",4/17/2025,,,,
TRANSPORTADORA COMBINADA,"  241,95 ",4/10/2025,,,,
TRANSPORTADORA COMBINADA,"  241,53 ",4/4/2025,,,,
TRANSPORTADORA COMBINADA,"  240,17 ",4/17/2025,,,,
